Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uzbekistan,UZB,65948357044.3338,64431544828.6755,61081104502.6432,60531374558.3318,61560407928.0615,64761549138.6176,67546295751.714,70450786470.9356,73152574131.5816,76198528994.1504,79226268546.3973,82579621282.3169,88730977771.2587,94897787112.2261,101969018354.085,111628548872.117,121707670290.97,131506273681.577,141497026172.214,152144875337.848,162950881257.219,174840674385.925,186858939872.07,200347863521.372,212232800909.881,221561015372.148,233425600850.829
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Vanuatu,VUT,442943066.147345,446200682.048336,486722245.694809,491608669.546295,503050052.222946,527733775.960537,533944433.918117,535745392.302405,567487283.825475,548206435.240748,519708917.277608,541995777.283168,563607277.89462,593508484.01022,643749925.995422,662236234.116493,699341273.769244,720581988.83099,729666234.798794,752562242.493157,760163346.262136,763725536.007528,787601476.940401,790528034.314869,827593346.944437,879860867.111963,905378858.336392
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Vietnam,VNM,130965785041.446,141538300120.819,154048843508.85,168745842883.477,184506734132.551,199547878349.082,211050726925.773,221125416737.654,236133898430.638,250757418833.471,266607346391.338,285000756492.526,306479583748.597,329610357167.482,352610418945.751,377749794575.41,399137123683.052,420682136674.609,447703552450.321,475641609540.691,500600271140.23,527742232095.62,559320504637.703,596679136398.068,633737753821.404,676909526449.601,724806213667.817
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,West Bank and Gaza,PSE,..,..,9349729583.61242,10015291208.4606,10136992171.326,11623807675.2801,13289987939.9585,14390455998.2008,13159182166.8981,11933978209.0648,10443520781.0475,11907270765.8544,14517968320.0872,16157141481.9561,15996126502.3702,16602104806.7129,17835505431.0491,19368197963.4789,20487168883.6089,22454102732.97,23823007352.7557,24942347997.2934,24902972347.8654,25829686575.9526,28119389833.301,28518507331.4937,28868451483.4524
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Zambia,ZMB,17291229944.5914,18466562230.3804,16873739624.6112,17362684728.8697,18442391350.4631,19145785539.2297,19071931409.4308,19958812408.2677,20736671783.489,21839213306.6671,22823291376.9763,24408363024.9918,26124855554.05,28015145342.9829,30229376829.1591,32754266255.9164,35300548789.7578,38555382377.3563,42525901758.0453,44892299080.9795,48303033348.0076,50745829681.768,53129864884.5198,54681456235.742,56746599390.2726,58735190955.7239,61104858650.0311
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Zimbabwe,ZWE,41735826284.3711,42174661229.8742,46069575063.4316,46142376809.5454,50923048553.1639,52288088825.7707,53796710937.8494,53356750129.7308,51724465892.5308,52469099261.0648,47802485172.741,39678417112.0329,37374077938.4922,35239613072.8989,34019795560.5897,32776941232.0559,26985601091.8306,30229151586.697,36176834844.6051,41311743293.1242,48196522444.6521,49155388770.2589,50323777621.7302,51219476802.9406,51606629078.5816,54037039238.8776,56643899781.1077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
