Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Sint Maarten (Dutch part),SXM,30458,30765,30950,31164,31434,31731,31240,31084,30519,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40654
Urban population,SP.URB.TOTL,Slovak Republic,SVK,3008952,3017265,3025916,3031513,3034659,3037037,3037825,3037635,3030239,3020933,3011770,3001728,2993058,2985293,2977317,2970070,2964549,2960369,2948302,2937801,2935234,2930811,2926070,2922832,2922095,2923642,2926332
Urban population,SP.URB.TOTL,Slovenia,SVN,1009090,1007206,1006579,1007313,1007220,1006383,1004706,1005959,1009459,1011568,1014358,1019460,1024627,1030904,1038715,1049080,1055309,1069460,1078743,1085605,1092516,1098614,1104335,1109788,1115536,1121491,1131123
Urban population,SP.URB.TOTL,Solomon Islands,SLB,46415,48420,50512,52684,54943,57288,59719,62231,65255,68684,72269,75997,79847,83796,87841,91999,96334,100919,105826,111055,116607,122453,128547,134861,141374,148106,155047
Urban population,SP.URB.TOTL,Somalia,SOM,2214804,2246775,2290443,2354250,2441941,2551225,2677302,2812251,2949757,3088299,3229504,3411445,3599379,3793358,3993408,3812005,4104241,4411125,4734452,5074285,5284302,5502043,5729046,5966601,6215578,6476276,6749349
Urban population,SP.URB.TOTL,South Africa,ZAF,20511179,21212381,21906216,22576689,23218614,23836114,24431487,25011820,25582582,26143327,26720456,27305505,27898739,28506191,29131015,29774437,30442138,31137755,31866173,32630279,33428280,34248628,35078456,35905875,36726640,37540921,38348227
Urban population,SP.URB.TOTL,South Sudan,SSD,791149,810319,804990,812393,835351,872521,920008,971733,1023148,1072397,1121013,1171503,1227929,1292714,1366953,1448498,1533768,1618271,1698195,1772671,1842403,1906879,1965952,2020116,2068145,2110798,2152927
Urban population,SP.URB.TOTL,Spain,ESP,29607126,29793326,29967941,30133075,30291556,30451227,30610090,30767125,30937864,31186430,31708814,32390830,33059302,33727737,34408810,35159317,35833174,36260460,36535850,36773882,36904876,36891840,36890017,36971015,37112875,37311863,37588424
Urban population,SP.URB.TOTL,Sri Lanka,LKA,3282022,3314121,3342592,3367278,3387296,3403632,3417928,3433299,3451324,3473139,3497774,3524535,3551533,3577319,3602000,3625538,3648476,3670930,3692904,3714770,3716533,3746058,3785336,3828283,3882481,3942265,4003749
Urban population,SP.URB.TOTL,St. Kitts and Nevis,KNA,13950,14026,14110,14186,14239,14288,14330,14380,14450,14539,14659,14782,14902,15006,15093,15164,15226,15291,15351,15417,15494,15584,15682,15785,15897,16013,16138
